codigo;Tipo;Equipamentos;unid;C u s t o Produtivo;C u s t o Improdutivo;C u s t o Parado;C u s t o Aluguel;HORA-MAQUINA
01.015.000032;EQ;Acabadora de superfície gasolina (potência: 4 HP);UN;;;;1;;
01.015.000033;EQ;Usina de solos elétrica (potência: 176 kW / capacidade: 600 t/h);UN;;;;1;;
01.015.000034;EQ;Rolo compactador rebocável estático pé-de-carneiro simples (peso operacional: 3 t);UN;;;;1;;
01.015.000035;EQ;Motoniveladora sobre pneus diesel lâmina tipo reta (potência nominal no volante do motor: 180 HP);UN;;;;1;;
01.015.000036;EQ;Rolo compactador autopropelido vibratório com pneus de tração e cilindro liso em aço diesel (Peso operacional: 11,2 t / potência: 150 HP);UN;;;;1;;
01.015.000037;EQ;Vassoura mecânica mecânica rebocável (faixa de trabalho: 2,44 m);UN;;;;1;;
01.015.000038;EQ;Rolo compactador rebocável estático pé-de-carneiro duplo (peso operacional: 6 t);UN;;;;1;;
01.015.000039;EQ;Motoniveladora sobre pneus diesel lâmina tipo reta (potência nominal no volante do motor: 135 HP);UN;;;;1;;
01.015.000040;EQ;Rolo compactador autopropelido vibratório com pneus de tração e cilindro liso em aço diesel (Peso operacional: 15,35 t / potência: 150 HP);UN;;;;1;;
01.015.000041;EQ;Vibroacabadora sobre esteiras diesel (potência: 77 HP);UN;;;;1;;
01.015.000042;EQ;Rolo compactador rebocável vibratório liso (peso operacional: 3,8 t);UN;;;;1;;
01.015.000043;EQ;Motoniveladora sobre pneus diesel lâmina tipo reta (potência nominal no volante do motor: 220 HP);UN;;;;1;;
01.015.000044;EQ;Rolo compactador autopropelido vibratório com pneus de tração e cilindro pé-de-carneiro em aço diesel (Peso operacional: 8,8 t / potência: 83 HP);UN;;;;1;;
01.015.000045;EQ;Vibroacabadora sobre pneus diesel (potência: 77 HP);UN;;;;1;;
01.015.000046;EQ;Rolo compactador rebocável vibratório pé-de-carneiro (peso operacional: 4,5 t);UN;;;;1;;
01.015.000047;EQ;Rolo compactador autopropelido vibratório com pneus de tração e cilindro pé-de-carneiro em aço diesel (Peso operacional: 11,6 t / potência: 150 HP);UN;;;;1;;
01.019.000002;EQ;Esmeril de chicote elétrico (potência: 1 HP);UN;;;;1;;
01.019.000003;EQ;Furadeira de impacto elétrica (potência: 0,65 kW / diâmetro do mandril: 5/8");UN;;;;1;;
01.027.000001;EQ;Martelete elétrico (potência: 1 kW / capacidade para furos diâmetro: 30 mm);UN;;;;1;;
01.027.000002;EQ;Martelete elétrico (potência: 1,5 kW / capacidade para furos diâmetro: 28 mm);UN;;;;1;;
01.027.000003;EQ;Martelete gasolina (potência: 2 kW / capacidade para furos diâmetro: 32 mm);UN;;;;1;;
01.027.000004;EQ;Martelete pneumático (capacidade de furos diâmetro: 32 mm);UN;;;;1;;
01.027.000005;EQ;Perfuratriz hidráulica autopropelida sobre esteiras diesel (potência 431 HP / capacidade de furos diâmetro: 110 a 165 mm);UN;;;;1;;
01.027.000006;EQ;Perfuratriz pneumática manual (capacidade de furos diâmetro: 27 a 40 mm);UN;;;;1;;
01.027.000007;EQ;Perfuratriz pneumática sobre esteiras (capacidade de furos diâmetro: até  115 mm);UN;;;;1;;
01.028.000005;EQ;Carregadeira de rodas com caçamba com bordas cortantes aparafusáveis diesel para aplicação geral (capacidade nominal da caçamba: 3,30 m³ / capacidade rasa da caçamba: 2,82 m³ / potência nominal no volante: 211 HP / profundidade de escavação: 92 mm);UN;;;;1;;
01.028.000007;EQ;Carregadeira de rodas com caçamba com borda padrão bico-de-pato diesel para rocha (capacidade nominal da caçamba: 11,5 m³ / capacidade rasa da caçamba: 9,45 m³ / potência nominal no volante: 800 HP / profundidade de escavação: 165 mm);H PROD;;;;1;;
01.028.000009;EQ;Carregadeira de rodas com caçamba com bordas cortantes aparafusáveis diesel para aplicação geral (capacidade nominal da caçamba: 2,80 m³ / capacidade rasa da caçamba: 2,41 m³/ potência nominal no volante: 160 HP / profundidade: 50 mm);UN;;;;1;;
01.028.000010;EQ;Carregadeira de rodas com caçamba com borda padrão bico-de-pato diesel para rocha (capacidade nominal da caçamba: 15,00 m³ / capacidade rasa da caçamba: 12,80 m³ / potência nominal no volante: 1250 HP / profundidade de escavação: 68 mm);H PROD;;;;1;;
01.028.000011;EQ;Compactador de placa vibratória elétrica (potência: 3 HP);UN;;;;1;;
